age,bmi,pancreas_diseases,family_history,prob_diabetes_0,prob_diabetes_1
0,0,0,0,0.98,0.02
0,0,0,1,0.95,0.05
0,0,1,0,0.93,0.07
0,0,1,1,0.88,0.12
0,1,0,0,0.90,0.10
0,1,0,1,0.85,0.15
0,1,1,0,0.83,0.17
0,1,1,1,0.75,0.25
0,2,0,0,0.80,0.20
0,2,0,1,0.70,0.30
0,2,1,0,0.65,0.35
0,2,1,1,0.50,0.50
1,0,0,0,0.90,0.10
1,0,0,1,0.85,0.15
1,0,1,0,0.80,0.20
1,0,1,1,0.70,0.30
1,1,0,0,0.75,0.25
1,1,0,1,0.65,0.35
1,1,1,0,0.60,0.40
1,1,1,1,0.45,0.55
1,2,0,0,0.50,0.50
1,2,0,1,0.35,0.65
1,2,1,0,0.30,0.70
1,2,1,1,0.20,0.80
